,event_code,event_subject,event_image,event_start,event_end,event_categories
32,285924,자동차보험 결제하면 모바일 상품권!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241029_car_gift_card_blue.png,2025-05-01,2025-05-31,"[""경품""]"
33,285921,에버랜드 놀이기구 타고 최대 14만원 캐시백!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250408_rides_orange.png,2025-05-01,2025-05-31,"[""캐시백""]"
34,285914,생활편의업종 무이자할부,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250106_life_green.png,2025-05-01,2025-05-31,"[""할인""]"
35,285908,티오더 도입하면 20만원 캐시백,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241230_t-order_purple.png,2025-05-01,2025-05-31,"[""캐시백""]"
36,285892,KB국민 팡팡 체크카드 최대 3만원 캐시백!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250404_pangpang_olive.png,2025-05-01,2025-05-31,"[""캐시백"", ""체크""]"
37,285883,마이펫카드 최대 10만원 캐시백,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250131_mypet_purple.png,2025-05-01,2025-05-31,"[""캐시백""]"
38,285880,KB Pay 첫 만남 기념 커피 쿠폰 받기,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250428_kbpay_pink.png,2025-05-01,2025-05-31,"[""경품""]"
39,285879,체크카드 신규 발급하면 최대 5만원 캐시백!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/_250131_toshimee_olive.png,2025-05-01,2025-05-31,"[""캐시백"", ""체크""]"
40,285866,쿠쿠렌탈Ⅱ카드 추가 청구할인!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250131_cuckoo_blue.png,2025-05-01,2025-05-31,"[""할인"", ""캐시백""]"
41,285865,코웨이Ⅱ카드 자동납부 최대 36만원 추가할인!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250131_coway_mint.png,2025-05-01,2025-05-31,"[""할인""]"
42,285848,CU 최대50% 할인카드 7만원 캐시백 혜택,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250131_cu_olive.png,2025-05-01,2025-05-31,"[""캐시백""]"
43,285845,스카이패스 티타늄카드 5천 마일리지 특별적립!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250417_skypass_blue.png,2025-05-01,2025-05-31,"[""할인"", ""포인트리""]"
44,285841,최대 45% 꽃길 할인 에버랜드 장미축제,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250422_Everland_pink.png,2025-05-01,2025-06-30,"[""할인""]"
45,285836,빗썸 X KB국민 체크 최대 10만원 상당 혜택,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250314_bitcoin_purple.png,2025-05-01,2025-05-31,"[""캐시백"", ""체크""]"
46,285832,"교원구몬카드 구몬학습료 월 17,000원 할인!",https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250131_kumon_red.png,2025-05-01,2025-05-31,"[""할인""]"
47,285831,국제선 항공권 청구할인 With 와이페이모어,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241220_whypaymore_orange.png,2025-05-01,2025-05-31,"[""할인""]"
48,285814,"자동차보험 결제하면, 주유상품권이 쏙!",https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250221_heungkukfire_blue.png,2025-05-01,2025-06-30,"[""경품""]"
49,285812,가족에게 사랑 표현하기 도와드려요!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/_250421_FamilyMonth_olive.png,2025-05-01,2025-05-31,"[""경품""]"
50,285761,Liiv M 통신요금 더 아껴주는 LiivMⅡ카드,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/_241115_LiivM_II_orange.png,2025-05-01,2025-05-31,"[""할인""]"
51,285760,LG헬로비전 Ⅱ카드 자동납부요금 청구할인!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250318_LG_hello2_purple.png,2025-05-01,2025-05-31,"[""할인""]"
52,285756,토스모바일통신요금아껴주는 토스모바일카드!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250131_toss_blue.png,2025-05-01,2025-05-31,"[""할인""]"
53,285844,"행복 가득, 혜택 가득 Joyful Festival",https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/__250508_Joyful_Festival-2_khaki.png,2025-04-30,2025-05-31,"[""할인"", ""포인트리"", ""경품""]"
54,285949,대만 데이투어 특가 & 특전 이벤트,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250430_AREX_blue.png,2025-04-28,2025-05-31,"[""할인""]"
55,285868,고품격 국내여행 1인 1만원 할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250425_localtrip_brown.png,2025-04-28,2025-05-30,"[""할인""]"
56,285674,종합소득세 환급금 조회 신규고객 5천원 혜택,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250327_tax_blue.png,2025-04-28,2025-06-20,"[""경품""]"
57,285905,폭싹 속았수다 제주로 워케이션 떠나요!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241024_jeju_blue.png,2025-04-25,2025-05-23,"[""캐시백"", ""체크""]"
58,285828,수수료면제는 기본! 이젠 Z대로 받는 트래블러스,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/_250425_charge_brown.png,2025-04-24,2025-07-31,"[""할인""]"
59,285864,Aloha 하와이 Visa 올인원 패키지!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250417_hawaian_mint.png,2025-04-21,2025-07-18,"[""할인""]"
60,285861,괌 하와이 사이판 발리 Visa로 항공 15%,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250404_visa_blue.png,2025-04-21,2025-07-18,"[""할인""]"
61,285821,괌 하와이 사이판 스테이크카드로 누Visa,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250417_Visa_olive.png,2025-04-21,2025-06-20,"[""할인""]"
62,285820,섬 휴양지 그냥 간다고? 나 지금 공짠데?,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250417_tripcoupon_red.png,2025-04-21,2025-06-20,"[""할인""]"
63,285813,체크카드 쓰면 쓸수록 기대되는 백만 포인트리!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250411_check-point_pink.png,2025-04-21,2025-05-31,"[""캐시백"", ""포인트리"", ""체크""]"
64,285801,"KB는 섬 휴양지에 진심 항공, 호텔, 스테이크",https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241119_VisaCard_Guam_khaki.png,2025-04-21,2025-07-18,"[""할인""]"
65,285791,괌 하와이 사이판 발리 호캉스 카드 Visa,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241107_lottehotel_blue.png,2025-04-21,2025-07-18,"[""할인""]"
66,285732,아고다 최대 10% 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241223_agoda_pink.png,2025-04-07,2025-06-30,"[""할인""]"
67,285745,"일본 20% 캐시백! 커피, 스시, 전자제품",https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250404_sushi_pink.png,2025-04-01,2025-12-31,"[""캐시백""]"
68,285742,JCB카드 일본특집 1탄 후쿠오카 또쿠오카!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250404_japan-JCB_red.png,2025-04-01,2025-06-30,"[""캐시백""]"
69,285689,AI 플랫폼 구독하면 5달러(USD) 페이백!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250328_AI-platform_blue.png,2025-04-01,2025-07-31,"[""캐시백""]"
70,285678,삼성화재자동차보험 캐시백 최대3만원 신규가입 혜택,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/_241029_samsungFire_blue.png,2025-04-01,2025-12-31,"[""캐시백""]"
71,285666,[스피드메이트] 할인은 기본 혜택은 더함,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241231_speedmate_purple.png,2025-04-01,2025-06-30,"[""캐시백""]"
72,285662,서울랜드는 KB Pay! 나도? 너도? 1+1할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250331_SeoulLand_purple.png,2025-04-01,2025-06-08,"[""할인""]"
73,285661,AXA다이렉트 자동차보험 가입시 최대3만원 캐시백,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250328_AXA_Direct_blue.png,2025-04-01,2025-12-31,"[""캐시백""]"
74,285659,[한국장학재단] 교육급여 바우처 안내,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241129_education_purple.png,2025-04-01,2026-02-28,"[""포인트리""]"
75,285637,트래블러스 체크카드로 전세계라운지 or 식사권,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241230_travelus_purple.png,2025-04-01,2025-09-30,"[""경품""]"
76,285580,가족과 함께 레고랜드 최대 30% 할인 찬스!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/__250312_Lego_brown.png,2025-04-01,2025-06-15,"[""할인""]"
77,284844,신차타GO~ 할인받GO~!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241202_newcar_pink.png,2025-04-01,2025-12-31,"[""할인"", ""캐시백""]"
